"","X","Map_.amp._Parcel","Location","Current_Owner","Mailing_Address","Legal_Description","Assessment_Classification.","Sale_Date","Sale_Price","Assessment_Year","Last_Reappraisal_Year","Improvement_Value","Land_Value","Total_Appraisal_Value","Assessed_Value","Property_Use","Zone","Neighborhood","Land_Area","Property_Type","Year_Built","Square_Footage","Exterior_Wall","Story_Height","Building_Condition","Foundation_Type","Number_of_Rooms","Number_of_Beds","Number_of_Baths","Number_of_Half_Bath","Number_of_Fixtures","lat","lng","Year","Month","Date","Num_Sale_Price","Num_Assessed_Value"
"24",39," 104 04 0 031.00"," 2011 B GRAND AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 ATTN: SEAN SCA, NASHVILLE, TN 37203"," PT LOT 1 DAVIS PROPERTY"," COM"," 07/13/2021"," $0",2022,2021," $15,100"," $365,900"," $381,000"," $152,400"," PARKING LOT",2,1011," 0.07 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1469939891933,-86.79820397254,"2021","07","13",0,152400
"25",40," 104 04 0 033.00"," 2013 GRAND AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 ATTN: SEAN SCA, NASHVILLE, TN 37203"," LOTS 2 &amp; 3 DAVIS PROPERTY"," COM"," 07/13/2021"," $0",2022,2021," $43,200"," $3,056,800"," $3,100,000"," $1,240,000"," PARKING LOT",2,1011," 0.59 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.146930999191,-86.7985030388453,"2021","07","13",0,1240000
"26",42," 104 04 0 040.00"," 1101 19TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 C/O S SCALLY, NASHVILLE, TN 37203"," LOTS 45 46 47 THOMPSON"," EXE"," 07/17/2015"," $0",2022,2021," $0"," $3,199,200"," $3,199,200"," $0"," MUSEUM OR OTHER CULTURAL ORG.",2,1011," 0.58 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1456250148572,-86.7977220131074,"2015","07","17",0,0
"27",45," 104 04 0 207.00"," 1203 17TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 ATTN: S SCALLY, NASHVILLE, TN 37203"," PT LOT 22 HAYES ROKEBY PLAN"," EXE"," 03/09/2016"," $1,400,000",2022,2021," $1,236,700"," $1,646,600"," $2,883,300"," $0"," APARTMENT: LOW RISE (BUILT SINCE 1960)",2,1011," 0.42 Acres"," APARTMENT",1979," 5,184"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1432810156342,-86.7947580045065,"2016","03","09",1400000,0
"28",47," 104 06 0 246.00"," 3022 VANDERBILT PL, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOTS 12&amp;13 BRANSFORD RLTY CO SUB LOT 57 BCS &amp; CLOSED R.O.W."," COM"," 09/25/2018"," $4,200,000",2022,2021," $1,486,300"," $2,286,900"," $3,773,200"," $1,509,280"," OFFICE BLDG (ONE OR TWO STORIES)",2,2111," 0.42 Acres"," OFFICE",1982," 8,700"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1417589877461,-86.8139379782667,"2018","09","25",4200000,1509280
"29",48," 104 06 0 247.00"," 123 30TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 9 HENRY GEORGE SUB BCS &amp; CLOSED R.O.W."," COM"," 09/27/2018"," $5,800,000",2022,2021," $0"," $762,300"," $762,300"," $304,920"," VACANT COMMERCIAL LAND",2,2111," 0.14 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1420539888284,-86.8135669952322,"2018","09","27",5800000,304920
"30",49," 104 06 0 248.00"," 125 30TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 8 HENRY GEORGE SUB BCS &amp; CLOSED R.O.W."," RES"," 09/27/2018"," $5,800,000",2022,2021," $85,300"," $1,089,000"," $1,174,300"," $293,575"," SINGLE FAMILY",2,2111," 0.20 Acres"," SINGLE FAM",1938," 1,670"," BRICK"," ONE STY"," Fair"," PT BSMT",8,4,2,0,9,36.1419300204804,-86.8135170390892,"2018","09","27",5800000,293575
"31",55," 104 08 0 250.00"," 1400 18TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 C/O S SCALLY, NASHVILLE, TN 37203"," LOT 1 RESUB LOT 1 B M G MUSIC COMPLEX &amp; PT OF CL ROW"," EXE"," 07/02/2014"," $0",2022,2021," $13,667,200"," $8,499,500"," $22,166,700"," $0"," OFFICE BLDG (3 OR MORE STORIES)",2,1011," 2.71 Acres"," OFFICE",1916," 86,941"," BRICK"," 4 STY"," Average"," TYPICAL",0,0,0,0,0,36.1405929811954,-86.7955449813956,"2014","07","02",0,0
"32",56," 104 08 0 254.00"," 1500 18TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT D &amp; PT LOT E READY SUB 46 HAYES ROKEBY"," RES"," 01/28/2016"," $1,700,000",2022,2021," $0"," $1,320,000"," $1,320,000"," $330,000"," VACANT RESIDENTIAL LAND",2,2227," 0.29 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1395319998914,-86.7961730374005,"2016","01","28",1700000,330000
"33",57," 104 08 0 285.00"," 1503 17TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," PAR 285 O.B.HAYES ROKEBY PLAN RESUB PT LOT 46"," COM"," 03/31/2016"," $810,000",2022,2021," $289,900"," $881,600"," $1,171,500"," $468,600"," OFFICE BLDG (ONE OR TWO STORIES)",2,1011," 0.21 Acres"," OFFICE",1910," 2,150"," BRICK/FRAME"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1393970093408,-86.7954869786256,"2016","03","31",810000,468600
"34",58," 104 08 0 287.00"," 1415 17TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 ATT S. SCALLY, NASHVILLE, TN 37203"," LOT 2 BMG MUSIC COMPLEX &amp; PT OF CLOSED ROW"," EXE"," 12/31/2014"," $1,900,000",2022,2021," $1,145,500"," $2,038,600"," $3,184,100"," $0"," NURSING HOME",2,1011," 0.65 Acres"," OFFICE",1995," 7,749"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1397879832144,-86.7954400399679,"2014","12","31",1900000,0
"35",60," 104 08 0 084.00"," 1601 21ST AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," PT LOT 6 WADDEYS RESUB SANFORD &amp; TAYLOR 16-19"," COM"," 04/17/2018"," $0",2022,2021," $1,968,300"," $630,600"," $2,598,900"," $1,039,560"," RESTURANT/CAFETERIA",2,2211," 0.11 Acres"," REST/BAR",1953," 6,992"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1385179991548,-86.800935970061,"2018","04","17",0,1039560
"36",61," 104 08 0 415.00"," 100 VILLAGE AT VANDERBILT, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 2 VILLAGES AT VANDERBILT"," EXE"," 06/23/2015"," $0",2022,2021," $24,870,100"," $6,545,000"," $31,415,100"," $0"," APARTMENT: LOW RISE (BUILT SINCE 1960)",2,2211," 5.48 Acres"," OFFICE",1989," 1,720"," BRICK"," 1 STY"," Average"," TYPICAL",0,0,0,0,0,36.1392390104659,-86.7994460029525,"2015","06","23",0,0
"37",65," 104 03 0 259.00"," 2555 WEST END AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 2 VANDERBILT UNIVERSITY CONSOLIDATION PLAT RESUB LT 2"," COM"," 06/23/2015"," $0",2022,2021," $42,291,500"," $15,790,500"," $58,082,000"," $23,232,800"," HOTEL/MOTEL",2,2111," 1.45 Acres"," HOTEL FS",2001," 214,965"," PRECAST CONC"," 11 STY"," Average"," TYPICAL",0,0,0,0,NA,36.1453160159967,-86.8092079864858,"2015","06","23",0,23232800
"38",66," 104 08 0 422.00"," 1406 18TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 ATTN: S. SCALL, NASHVILLE, TN 37203"," LOT 3 RESUB LOT 1 B M G MUSIC COMPLEX"," EXE"," 02/23/2018"," $2,160,000",2022,2021," $951,700"," $1,012,500"," $1,964,200"," $0"," TRIPLEX",2,1011," 0.26 Acres"," RESD TRIPLEX",1948," 3,106"," BRICK"," TWO STY"," Average"," CRAWL",11,4,4,0,18,36.1399010131787,-86.796116040459,"2018","02","23",2160000,0
"39",67," 104 03 0 260.00"," 2545 WEST END AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LT 3 VANDERBILT UNIVER.CONSOLIDATION PLAT RESUB LTS 1 &amp; 2"," COM"," 06/23/2015"," $0",2022,2021," $55,700"," $6,534,000"," $6,589,700"," $2,635,880"," PARKING LOT",2,2111," 0.60 Acres","",NA," 0","","","","",NA,NA,0,0,NA,36.1457470134579,-86.8095679892272,"2015","06","23",0,2635880
"40",69," 104 02 0 575.00"," 0 30TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 10 HENRY GEORGE &amp; CLOSED R.O.W."," COM"," 09/27/2018"," $5,800,000",2022,2021," $0"," $816,800"," $816,800"," $326,720"," VACANT COMMERCIAL LAND",2,2111," 0.15 Acres","",NA," 0","","","","",NA,NA,0,0,NA,36.1423284660132,-86.813483840295,"2018","09","27",5800000,326720
"41",71," 104 03 0 531.00"," 0 VANDERBILT PL, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 2 2406 VANDERBILT PLACE MINOR SUB"," EXE"," 03/27/2019"," $2,300,000",2022,2021," $5,900"," $1,633,500"," $1,639,400"," $0"," PARKING LOT",2,2112," 0.15 Acres","",NA," 0","","","","",NA,NA,0,0,NA,36.1421348888139,-86.8126748748488,"2019","03","27",2300000,0
"42",80," 103 06 0 157.00"," 5701 KNOB RD, Nashville, TN"," VANDERBILT UNIVERSITY MEDICAL","  3319 WEST END AVE STE 200, NASHVILLE, TN 37203"," LOT 67 RE-SUB LTS 67 &amp; 68 HILLWOOD PARK"," EXE"," 10/03/2018"," $1,100,000",2022,2021," $1,099,800"," $160,000"," $1,259,800"," $0"," DAY CARE CENTER",2,4427," 1.00 Acres"," DAYCARE",1962," 9,176"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1378909908877,-86.862298961199,"2018","10","03",1100000,0
"43",81," 104 04 0 001.00 002"," 0 VANDERBILT PL, Nashville, TN"," VANDERBILT UNIVERSITY MEDICAL","  3319 WEST END AVE, STE. 700, NASHVILLE, TN 37203"," LEASEHOLD FOR VANDERBILT MEDICAL CENTER"," COM"," 11/22/2016"," $0",2022,2021," $16,060,500"," $0"," $16,060,500"," $6,424,200"," SCHOOL OR COLLEGE",2,2112," 0.00 Acres","",NA," 0","","","","",NA,NA,0,0,NA,36.1421348888139,-86.8126748748488,"2016","11","22",0,6424200
"44",89," 104 03 0 021.00"," 120 29TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY, THE","  2100 WEST END AVE SUITE 750, NASHVILLE, TN 37203"," LOT 14 WILLIAMS SUB 55 OF B C S"," COM"," 07/19/2016"," $1,650,000",2022,2021," $129,700"," $843,800"," $973,500"," $389,400"," OFFICE BLDG (ONE OR TWO STORIES)",2,2111," 0.16 Acres"," SINGLE FAM",1923," 2,641"," BRICK"," 1.75 STY"," Average"," PT BSMT",10,0,2,0,5,36.1429469967927,-86.8124159922881,"2016","07","19",1650000,389400
"45",91," 092 16 0 141.00"," 120 20TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY, THE","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 1 VANDERBILT GRADUATE HOUSING RESUB"," COM"," 12/19/2016"," $0",2022,2021," $10,231,000"," $23,767,300"," $33,998,300"," $13,599,320"," APARTMENT: HIGH RISE (3 STORIES OR GREATER)",2,1011," 1.94 Acres"," HR APT",2022," 352,056"," BRICK"," 12 STY"," Average"," TYPICAL",NA,NA,0,0,NA,36.150438993308,-86.7983020408071,"2016","12","19",0,13599320
