Race,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
White,63.50%,62.40%,61.30%,60.30%,58.70%,56.80%,54.90%,53.40%,52.10%,52.20%,50.40%,48.60%
International,9.10%,9.50%,9.50%,9.50%,10.00%,10.50%,10.80%,11.00%,11.90%,10.30%,11.70%,12.50%
Asian/Pacific Islander,6.30%,6.60%,6.80%,7.70%,8.50%,8.90%,9.90%,10.10%,10.30%,11.20%,11.70%,12.60%
Black,7.00%,7.30%,7.40%,7.30%,7.30%,7.90%,8.70%,9.40%,9.50%,9.50%,9.20%,9.30%
Hispanic,5.70%,6.00%,6.10%,6.40%,6.80%,7.30%,7.70%,7.90%,8.10%,8.60%,9.10%,9.30%
Two or More Races,3.10%,3.40%,3.40%,3.60%,3.70%,4.00%,4.20%,4.30%,4.40%,4.50%,4.50%,4.70%
Race Unknown,5.20%,4.50%,5.20%,4.90%,4.70%,4.10%,3.50%,3.50%,3.40%,3.30%,2.90%,2.70%
American Indian,0.20%,0.30%,0.30%,0.30%,0.30%,0.30%,0.40%,0.40%,0.40%,0.30%,0.30%,0.30%
